producto,tipo,modelo_fabricante,color_variante,sku_santavila,ref_proveedor_guardada,handle,EAN_a_rellenar
Sofá terraza 3 plazas · estilo contemporáneo | 188×115 cm,Sofá,,,557-0796,,sofa-terraza-3-plazas-estilo-contemporaneo-188115-cm,
Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillones + mesa 3,Conjunto sofá,,,557-0798,,set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-3,
Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa 4,Conjunto sofá,,,557-0799,,set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-4,
Sillón exterior · estilo versátil | 64×70 cm,Sillón,,,557-010146,,sillon-exterior-estilo-versatil-6470-cm,
Sofá terraza 2 plazas · estilo elegante | 131×70 cm,Sofá,,,557-010148,,sofa-terraza-2-plazas-estilo-elegante-13170-cm,
Sofá terraza 3 plazas · estilo moderno | 185×70 cm,Sofá,,,557-010147,,sofa-terraza-3-plazas-estilo-moderno-18570-cm,
Mesa de centro exterior HPL 90 cm · altura 40 cm,Mesa centro,,,557-010153,,mesa-de-centro-exterior-hpl-90-cm-altura-40-cm,
Mesa de centro exterior HPL 120 cm · altura 40 cm 2,Mesa centro,,,557-010154,,mesa-de-centro-exterior-hpl-120-cm-altura-40-cm-2,
Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillones + mesa 4,Conjunto sofá,,,557-010149,,set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-4,
Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa 5,Conjunto sofá,,,557-010147-SET,,set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-5,
Pérgola aluminio para jardín · 300×300×250 cm,Pérgola,,,557-0919,,pergola-aluminio-para-jardin-300300250-cm,
Sillón exterior · estilo urbano | 66×70 cm,Sillón,,,557-01951,,sillon-exterior-estilo-urbano-6670-cm,
Sofá terraza 2 plazas · estilo contemporáneo | 133×70 cm,Sofá,,,557-01952,,sofa-terraza-2-plazas-estilo-contemporaneo-13370-cm,
Sofá terraza 3 plazas · estilo moderno | 187×70 cm,Sofá,,,557-01953,,sofa-terraza-3-plazas-estilo-moderno-18770-cm,
Set jardín 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa 3,Conjunto sofá,,,557-01954,,set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-3,
Set jardín 3 plazas · urbano | sofá 3 plazas + 2 sillones + mesa,Conjunto sofá,,,557-01955,,set-jardin-3-plazas-urbano-sofa-3-plazas-2-sillones-mesa,
Set rinconera exterior HPL · sofisticado | sofá de esquina + mesa de centro | Blanco - Beige,Conjunto rinconera,,,557-010705,,set-rinconera-exterior-hpl-sofisticado-sofa-de-esquina-mesa-de-centro,
Set rinconera exterior HPL · elegante | sofá de esquina + mesa de centro,Conjunto rinconera,,,557-010026,,set-rinconera-exterior-hpl-elegante-sofa-de-esquina-mesa-de-centro,
Set rinconera exterior HPL · moderno | sofá de esquina + mesa de centro,Conjunto rinconera,,,557-010123,,set-rinconera-exterior-hpl-moderno-sofa-de-esquina-mesa-de-centro,
Set rinconera exterior · contemporáneo | sofá de esquina + mesa de centro,Conjunto rinconera,,,557-1164,,set-rinconera-exterior-contemporaneo-sofa-de-esquina-mesa-de-centro,
Set rinconera exterior · sofisticado | sofá de esquina + mesa de centro,Conjunto rinconera,,,557-010048,,set-rinconera-exterior-sofisticado-sofa-de-esquina-mesa-de-centro,
Mesa comedor exterior HPL,Mesa comedor,,135×90 cm,557-010177,,mesa-comedor-exterior-hpl-13590-cm,
Mesa comedor exterior HPL,Mesa comedor,,160×90 cm,123-0017,,mesa-comedor-exterior-hpl-13590-cm,
Silla exterior · estilo estilizado,Silla,,,123-0002,,silla-exterior-estilo-estilizado,
Silla exterior · estilo contemporáneo,Silla,,,123-0001,,silla-exterior-estilo-contemporaneo,
Mesa comedor exterior HPL 100×90 cm,Mesa comedor,,,123-0013,,mesa-comedor-exterior-hpl-10090-cm,
Mesa comedor exterior HPL 150×90 cm,Mesa comedor,,,557-011019,,mesa-comedor-exterior-hpl-15090-cm,
Sillón exterior · estilo versátil | 58×100 cm,Sillón,,,123-0011,,sillon-exterior-estilo-versatil-58100-cm,
Tumbona de exterior,Tumbona,,,123-0038,,tumbona-de-exterior,
Base de parasol 25 kg,Accesorios,,,921-0026,,base-de-parasol-25-kg,
Set losas cemento para base de parasol,Accesorios,,,921-0009,,set-losas-cemento-para-base-de-parasol,
Balancín jardín exterior · 148×194 cm,Balancín,,,557-010143,,balancin-jardin-exterior-148194-cm,
Banco jardín con mesa integrada · 220 cm,Banco con mesa,,,557-010947,,banco-jardin-con-mesa-integrada-220-cm,
Banco de exterior 150 cm,Banco,,,557-010016,,banco-de-exterior-150-cm,
Banco de exterior 108 cm,Banco,,,557-011350,,banco-de-exterior-108-cm,
