SKU,Producto,Precio neto exworks sin iva,Precio Venta,Margen €,Margen%,Coste de Envio,Unnamed: 7,PVP Recomendado,Descripción,Ancho (cm),Fondo (cm),Alto (cm),Imagen,Proveedor
557-1563,UNIVERSAL-120 MESA CENTRO 120/COFFEE TABLE,"215,00 €","322,31 €","107,31 €","49,91%",50.0,,390 €,"La mesa de centro UNIVERSAL-120 ofrece una superficie amplia y práctica para conjuntos de mayor tamaño. Su diseño limpio y estructura resistente la convierten en el complemento ideal para sofás de 3 plazas, aportando funcionalidad y equilibrio visual.",120,60.0,40.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20centro%20120%20estandar.png,Hevea
557-010938,SET DAMASCO 7 / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,"1.406,00 €","2.111,57 €","705,57 €","50,18%",0.0,,2.555 €,"El Set DAMASCO 7 incluye sofá de 2 plazas, sillones y mesa de centro, creando un conjunto completo y armonioso para exteriores. Diseñado para ofrecer comodidad y coherencia estética, es perfecto para terrazas que buscan un ambiente acogedor y elegante.",,,,https://hevea.es/mpcrm/imgs/uploads/1739779545_damasco%207.jpg,Hevea
557-010939,SET DAMASCO 8 / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,"1.609,00 €","2.417,36 €","808,36 €","50,24%",0.0,,2.925 €,"El Set DAMASCO 8 ofrece un salón exterior amplio y sofisticado con sofá de 3 plazas, sillones y mesa de centro. Sus asientos generosos y diseño contemporáneo garantizan confort y estilo para disfrutar al aire libre.",,,,https://hevea.es/mpcrm/imgs/uploads/1739779545_damasco%208.jpg,Hevea
600-010021,YINA-1 SILLON/ARMCHAIR/FAUTEUIL,"435,00 €","652,89 €","217,89 €","50,09%",50.0,,790 €,El sillón YINA-1 destaca por su diseño ligero y moderno. Su estructura resistente para exterior y su asiento cómodo lo convierten en una pieza versátil ideal para terrazas actuales.,77,72.0,83.0,https://hevea.es/mpcrm/imgs/uploads/yina.jpg,Hevea
600-010022,YINA-2 SOFA 2 PLAZAS/SOFÁ/CANAPÉ,"636,00 €","954,55 €","318,55 €","50,09%",0.0,,1.155 €,El sofá YINA de 2 plazas combina líneas estilizadas y confort en un formato compacto. Perfecto para espacios exteriores de tamaño medio que buscan modernidad y funcionalidad.,143,72.0,83.0,https://hevea.es/mpcrm/imgs/uploads/sof%C3%A1%20yina%202%20plazas.jpg,Hevea
600-010023,YINA-3 SOFA 3 PLAZAS/SOFÁ/CANAPÉ,"806,00 €","1.210,74 €","404,74 €","50,22%",0.0,,1.465 €,El sofá YINA de 3 plazas ofrece amplitud y elegancia en una propuesta contemporánea. Su estructura robusta y cojines confortables garantizan comodidad y resistencia en exterior.,185,72.0,83.0,https://hevea.es/mpcrm/imgs/uploads/sof%C3%A1%20yina%203%20plazas.jpg,Hevea
600-010024,YINA-70 HPL MESA CENTRO/COFFEE TABLE/TABLE CENTRE,"229,00 €","342,98 €","113,98 €","49,77%",50.0,,415 €,La mesa de centro YINA-70 con tablero HPL combina diseño moderno y alta resistencia. Su superficie está preparada para soportar condiciones exteriores manteniendo su estética impecable.,70,,45.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20centro%20yina.jpg,Hevea
600-010025,YINA-5 REPOSAPIES/FOOTSTOOL/REPOSE-PIEDS,"176,00 €","264,46 €","88,46 €","50,26%",50.0,,320 €,"El reposapiés YINA-5 complementa el conjunto aportando mayor comodidad. Puede utilizarse como extensión del asiento o como apoyo auxiliar, manteniendo la coherencia estética de la colección.",73,46.0,40.0,https://hevea.es/mpcrm/imgs/uploads/reposapi%C3%A9s%20yina.jpg,Hevea
600-010026,YINA-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,"1.736,00 €","2.607,44 €","871,44 €","50,20%",0.0,,3.155 €,"El Set YINA 7 incluye sofá de 2 plazas, sillones y mesa de centro en un conjunto moderno y equilibrado. Ideal para crear un espacio exterior actual, cómodo y funcional.",,,,https://hevea.es/mpcrm/imgs/uploads/1739779626_yina%207.jpg,Hevea
600-010027,YINA-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,"1.906,00 €","2.863,64 €","957,64 €","50,24%",0.0,,3.465 €,"El Set YINA 8 ofrece una composición amplia con sofá de 3 plazas, sillones y mesa de centro. Diseñado para aportar confort, resistencia y estilo contemporáneo en terrazas y jardines.",,,,https://hevea.es/mpcrm/imgs/uploads/1739779626_yina%208.jpg,Hevea
557-010813,CUPRA-1 SILLÓN/ARMCHAIR/FAUTEUIL,"462,00 €","694,21 €","232,21 €","50,26%",50.0,,840 €,"El sillón CUPRA-1 combina líneas modernas y estructura resistente para crear un asiento elegante y duradero para exterior. Sus proporciones equilibradas y cojines confortables ofrecen una experiencia de descanso cómoda, ideal para terrazas y jardines contemporáneos.",65,75.0,90.0,https://hevea.es/mpcrm/imgs/uploads/sill%C3%B3n%20individual.png,Hevea
557-010814,CUPRA-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,"660,00 €","991,74 €","331,74 €","50,26%",0.0,,1.200 €,"El sofá CUPRA de 2 plazas es perfecto para espacios exteriores de tamaño medio. Su diseño actual y su estructura robusta garantizan estabilidad y durabilidad, mientras que sus cojines amplios aportan confort y estilo.",130,75.0,90.0,https://hevea.es/mpcrm/imgs/uploads/sof%C3%A1%20cupra%202%20plazas.jpg,Hevea
557-010815,CUPRA-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,"836,00 €","1.256,20 €","420,20 €","50,26%",0.0,,1.520 €,"El sofá CUPRA de 3 plazas ofrece amplitud y presencia en cualquier terraza. Su diseño contemporáneo y asiento profundo proporcionan comodidad y elegancia, convirtiéndolo en el centro del espacio exterior.",185,75.0,90.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20120%20est%C3%A1ndar%20cupra.png,Hevea
557-010785,STANDARD-5 REPOSAPIES/FOOTSTOOL/REPOSE-PIEDS,"149,00 €","223,14 €","74,14 €","49,76%",0.0,,270 €,"El reposapiés STANDARD-5 aporta un extra de comodidad al conjunto, permitiendo extender la zona de descanso o utilizarlo como asiento auxiliar. Su diseño coordinado mantiene la armonía del espacio exterior.",60,50.0,40.0,https://hevea.es/mpcrm/imgs/uploads/reposapi%C3%A9s_est%C3%A1ndar.jpg,Hevea
557-010816,CUPRA-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,"1.738,00 €","2.611,57 €","873,57 €","50,26%",0.0,,3.160 €,"El Set CUPRA 7 incluye sofá de 2 plazas, sillones y mesa de centro, formando un conjunto equilibrado y elegante. Diseñado para ofrecer confort y resistencia en exterior, es ideal para crear un ambiente acogedor y moderno.",,,,https://hevea.es/mpcrm/imgs/uploads/1739542096_CUPRA%207.jpg,Hevea
557-010817,CUPRA-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,"1.975,00 €","2.966,94 €","991,94 €","50,22%",0.0,,3.590 €,"El Set CUPRA 8 ofrece una composición amplia con sofá de 3 plazas, sillones y mesa de centro. Su diseño contemporáneo y asientos cómodos lo convierten en una solución perfecta para terrazas sofisticadas.",,,,https://hevea.es/mpcrm/imgs/uploads/1739542096_CUPRA%208.jpg,Hevea
557-1089,BELLAGIO-1 SILLÓN/ARMCHAIR/FAUTEUIL,"361,00 €","541,32 €","180,32 €","49,95%",50.0,,655 €,"El sillón BELLAGIO-1 destaca por su diseño elegante y proporciones envolventes. Pensado para exterior, combina estructura resistente y confort en una pieza ideal para crear rincones relajados con estilo.",75,75.0,82.0,https://hevea.es/mpcrm/imgs/uploads/sillon%20bellagio%201.jpg,Hevea
557-1090,BELLAGIO-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,"677,00 €","1.016,53 €","339,53 €","50,15%",0.0,,1.230 €,"El sofá BELLAGIO de 3 plazas aporta amplitud y carácter al espacio exterior. Con asiento profundo y diseño equilibrado, crea un ambiente acogedor ideal para reuniones y momentos de relax.",198,75.0,82.0,https://hevea.es/mpcrm/imgs/uploads/bellagio%203%20plazas.png,Hevea
557-1091,BELLAGIO-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,"479,00 €","719,01 €","240,01 €","50,11%",50.0,,870 €,El sofá BELLAGIO de 2 plazas ofrece una combinación perfecta entre sofisticación y comodidad. Su diseño contemporáneo y cojines generosos aportan elegancia y confort en terrazas modernas.,150,75.0,82.0,https://hevea.es/mpcrm/imgs/uploads/bellagio%202%20plazas.png,Hevea
557-1092,BELLAGIO-4 MESA CENTRO 125,"171,00 €","256,20 €","85,20 €","49,82%",50.0,,310 €,"La mesa de centro BELLAGIO 125 complementa el conjunto con una superficie amplia y diseño armonioso. Resistente y funcional, es perfecta para completar salones exteriores con estilo.",125,60.0,38.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20bellagio%20de%20centro.jpg,Hevea
557-1094,BELLAGIO-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,"1.370,00 €","2.057,85 €","687,85 €","50,21%",0.0,,2.490 €,"El Set BELLAGIO 7 incluye sofá de 2 plazas, sillones y mesa de centro, creando un espacio exterior elegante y cómodo. Ideal para terrazas que buscan equilibrio entre diseño y funcionalidad.",,,,https://hevea.es/mpcrm/imgs/uploads/1739542760_BELLAGIO_9_N25_IA.jpg,Hevea
557-1095,BELLAGIO-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,"1.568,00 €","2.355,37 €","787,37 €","50,22%",0.0,,2.850 €,"El Set BELLAGIO 8 ofrece un salón exterior amplio con sofá de 3 plazas, sillones y mesa de centro. Su diseño sofisticado y confortable convierte cualquier terraza en un espacio acogedor.",,,,https://hevea.es/mpcrm/imgs/uploads/1739542760_BELLAGIO_10_025_IA.jpg,Hevea
600-010090,CLOE-1 SILLON/ARMCHAIR/FAUTEUIL,"443,00 €","665,29 €","222,29 €","50,18%",50.0,,805 €,El sillón CLOE-1 combina ligereza visual y comodidad en una pieza moderna para exterior. Su estructura resistente y asiento confortable lo convierten en un complemento perfecto para terrazas actuales.,70,64.0,69.0,https://hevea.es/mpcrm/imgs/uploads/sillon%20individual%20cloe.png,Hevea
600-010091,CLOE SOFA 2 PLAZAS/SOFA/CANAPÉ,"630,00 €","946,28 €","316,28 €","50,20%",0.0,,1.145 €,"El sofá CLOE de 2 plazas ofrece un diseño contemporáneo y acogedor. Ideal para espacios exteriores de tamaño medio, proporciona comodidad y estilo en cualquier terraza.",162,64.0,69.0,https://hevea.es/mpcrm/imgs/uploads/sof%C3%A1%20de%202%20plazas%20cloe.png,Hevea
600-010092,CLOE SOFA 3 PLAZAS/SOFA/CANAPÉ,"872,00 €","1.309,92 €","437,92 €","50,22%",0.0,,1.585 €,El sofá CLOE de 3 plazas destaca por su amplitud y diseño elegante. Sus cojines cómodos y estructura sólida lo convierten en el protagonista perfecto del salón exterior.,220,64.0,69.0,https://hevea.es/mpcrm/imgs/uploads/sofa%20de%203%20plazas%20clone.png,Hevea
600-010093,CLOE-5 REPOSAPIES/FOOTSTOOL/REPOSE-PIEDS,"86,00 €","128,10 €","42,10 €","48,95%",0.0,,155 €,"El reposapiés CLOE-5 añade un extra de confort al conjunto, permitiendo extender la zona de descanso o utilizarlo como asiento auxiliar manteniendo la coherencia estética.",50,45.0,40.0,https://hevea.es/mpcrm/imgs/uploads/reposapi%C3%A9s%20cloe.png,Hevea
557-011090,ODIN-1 SILLON/ARMCHAIR/FAUTEUIL,"234,00 €","351,24 €","117,24 €","50,10%",50.0,,425 €,"El sillón ODIN-1 combina diseño contemporáneo y estructura resistente para crear un asiento cómodo y elegante en exteriores. Sus líneas modernas y cojines confortables ofrecen una experiencia de descanso relajada, ideal para terrazas y jardines actuales.",65,66.0,78.0,https://hevea.es/mpcrm/imgs/uploads/sillon%20odin.jpg,Hevea
557-011091,ODIN-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,"396,00 €","595,04 €","199,04 €","50,26%",50.0,,720 €,"El sofá ODIN de 2 plazas es perfecto para espacios exteriores de tamaño medio. Su diseño equilibrado y su estructura robusta garantizan estabilidad y durabilidad, mientras que sus cojines amplios aportan confort y estilo.",120,66.0,78.0,https://hevea.es/mpcrm/imgs/uploads/odin%202%20plazas.jpg,Hevea
557-011092,ODIN-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,"520,00 €","780,99 €","260,99 €","50,19%",0.0,,945 €,El sofá ODIN de 3 plazas aporta amplitud y presencia en cualquier terraza. Su asiento profundo y diseño moderno lo convierten en el protagonista ideal para crear un salón exterior cómodo y sofisticado.,175,66.0,78.0,https://hevea.es/mpcrm/imgs/uploads/odin%203%20plazas.jpg,Hevea
557-011075,SAIPROS-90 MESA CENTRO 90/COFFEE TABLE/TABLE CENTRE,"154,00 €","231,40 €","77,40 €","50,26%",0.0,,280 €,"La mesa de centro SAIPROS-90 destaca por su formato compacto y funcional. Resistente y preparada para exterior, es ideal para completar conjuntos modernos aportando superficie de apoyo práctica y elegante.",90,50.0,41.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20saipros%2090.jpg,Hevea
557-011076,SAIPROS-120 MESA CENTRO 120/COFFEE TABLE/TABLE CENTRE,"215,00 €","322,31 €","107,31 €","49,91%",50.0,,390 €,La mesa SAIPROS-120 ofrece una superficie amplia perfecta para conjuntos de mayor tamaño. Su diseño limpio y estructura sólida garantizan resistencia y armonía estética en terrazas contemporáneas.,120,60.0,41.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20120%20odin.jpg,Hevea
557-011094,ODIN-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,"1.018,00 €","1.528,93 €","510,93 €","50,19%",0.0,,1.850 €,"El Set ODIN 7 incluye sofá de 2 plazas, sillones y mesa de centro, creando un conjunto completo y equilibrado. Diseñado para aportar comodidad y estilo en exterior, es ideal para terrazas acogedoras y modernas.",,,,https://hevea.es/mpcrm/imgs/uploads/odin%207.png,Hevea
557-011095,ODIN-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,"1.202,00 €","1.805,79 €","603,79 €","50,23%",0.0,,2.185 €,"El Set ODIN 8 ofrece una composición amplia con sofá de 3 plazas, sillones y mesa de centro. Su diseño contemporáneo y asientos cómodos lo convierten en una solución perfecta para crear un salón exterior elegante.",,,,https://hevea.es/mpcrm/imgs/uploads/set%20odin%208.png,Hevea
557-010726,ALBANIA-1 SILLON/ARMCHAIR/FAUTEUIL,"273,00 €","409,09 €","136,09 €","49,85%",50.0,,495 €,"El sillón ALBANIA-1 destaca por su diseño actual y líneas definidas. Fabricado para uso exterior, combina resistencia estructural y comodidad en una pieza versátil ideal para terrazas modernas.",76,70.0,100.0,https://hevea.es/mpcrm/imgs/uploads/sillon%20albania.jpg,Hevea
557-010727,ALBANIA-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,"432,00 €","648,76 €","216,76 €","50,18%",50.0,,785 €,El sofá ALBANIA de 2 plazas ofrece confort y estilo en un formato compacto. Su estructura sólida y cojines confortables garantizan una experiencia agradable al aire libre.,145,70.0,100.0,https://hevea.es/mpcrm/imgs/uploads/albania%20%20(2).jpg,Hevea
557-010728,ALBANIA-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,"548,00 €","822,31 €","274,31 €","50,06%",0.0,,995 €,"El sofá ALBANIA de 3 plazas aporta amplitud y elegancia al espacio exterior. Con asiento profundo y diseño equilibrado, es ideal para crear ambientes acogedores y sofisticados.",212,70.0,100.0,https://hevea.es/mpcrm/imgs/uploads/albania%20%20(1).jpg,Hevea
557-010729,ALBANIA-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,"1.279,00 €","1.921,49 €","642,49 €","50,23%",0.0,,2.325 €,"El Set ALBANIA 7 incluye sofá de 2 plazas, sillones y mesa de centro, formando un conjunto armonioso y funcional. Ideal para crear terrazas elegantes con un equilibrio perfecto entre diseño y comodidad.",,,,https://hevea.es/mpcrm/imgs/uploads/1739535555_ALBANIA_09.jpg,Hevea
557-010730,ALBANIA-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,"1.428,00 €","2.144,63 €","716,63 €","50,18%",0.0,,2.595 €,"El Set ALBANIA 8 ofrece un salón exterior amplio y sofisticado con sofá de 3 plazas, sillones y mesa de centro. Diseñado para disfrutar del aire libre con máximo confort.",,,,https://hevea.es/mpcrm/imgs/uploads/1739535555_ALBANIA-10.jpg,Hevea
557-0185,STANDARD 55-XL STANDARD XL REPOSAPIES,"163,00 €","243,80 €","80,80 €","49,57%",0.0,,295 €,"El reposapiés STANDARD-XL añade un extra de confort al conjunto, permitiendo extender la zona de descanso o utilizarlo como asiento auxiliar. Su diseño mantiene la coherencia estética del espacio exterior.",85,50.0,43.0,https://hevea.es/mpcrm/imgs/uploads/sillon%20albania.jpg,Hevea
557-010478,BOLONIA XL-1 SILLÓN/ARMCHAIR/CANAPÉ,"462,00 €","694,21 €","232,21 €","50,26%",50.0,,840 €,"El sillón BOLONIA XL-1 destaca por su formato generoso y diseño moderno. Pensado para exterior, combina resistencia y comodidad en una pieza elegante y versátil.",80,84.0,104.0,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl%20(3).jpg,Hevea
557-010479,BOLONIA XL-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,"718,00 €","1.078,51 €","360,51 €","50,21%",0.0,,1.305 €,El sofá BOLONIA XL de 2 plazas ofrece una sentada amplia y confortable con un diseño contemporáneo. Ideal para terrazas que buscan equilibrio entre estilo y funcionalidad.,164,84.0,104.0,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl.jpg,Hevea
557-010480,BOLONIA XL-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,"957,00 €","1.438,02 €","481,02 €","50,26%",0.0,,1.740 €,El sofá BOLONIA XL de 3 plazas aporta amplitud y presencia al espacio exterior. Sus cojines confortables y estructura sólida garantizan una experiencia de descanso superior.,215,84.0,104.0,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl%20(2).jpg,Hevea
557-0008,BOLONIA-4 MESA CENTRO-125X65X42,"259,00 €","388,43 €","129,43 €","49,97%",50.0,,470 €,La mesa de centro BOLONIA 125x65x42 combina diseño moderno y funcionalidad. Su tamaño amplio la convierte en el complemento ideal para conjuntos de gran formato.,125,65.0,42.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20bolonia%20centro.png,Hevea
557-010482,STANDARD-XL REPOSAPIES/FOOTSTOOL/REPOSE-PIEDS,"187,00 €","280,99 €","93,99 €","50,26%",50.0,,340 €,El reposapiés STANDARD-XL complementa el conjunto aportando mayor comodidad y versatilidad. Puede utilizarse como extensión del asiento o como apoyo auxiliar manteniendo la estética del conjunto.,85,50.0,43.0,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl%20(3).jpg,Hevea
557-0793,BOLONIA XL-7 SET SOFA 2 PLAZAS/SOFA/CANAPÉ,"1.898,00 €","2.851,24 €","953,24 €","50,22%",0.0,,3.450 €,"El Set BOLONIA XL 7 incluye sofá de 2 plazas, sillones y mesa de centro, creando un espacio exterior amplio y elegante. Perfecto para terrazas modernas que buscan confort y diseño.",,,,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl%20%20(2).png,Hevea
557-010483,BOLONIA XL-8 SET SOFA 3 PLAZAS/SOFA/CANAPÉ,"2.140,00 €","3.214,88 €","1.074,88 €","50,23%",0.0,,3.890 €,"El Set BOLONIA XL 8 ofrece una composición completa con sofá de 3 plazas, sillones y mesa de centro. Diseñado para aportar amplitud, resistencia y sofisticación en jardines y terrazas.",,,,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl%20%20(1).png,Hevea
558-0051,DIVA-1 BICOLOR SILLON/ARMCHAIR/FAUTEUIL,"429,00 €","644,63 €","215,63 €","50,26%",50.0,,780 €,"El sillón DIVA-1 Bicolor destaca por su diseño contemporáneo con acabado en doble tonalidad que aporta personalidad y sofisticación al espacio exterior. Su estructura resistente y cojines confortables ofrecen estabilidad y una experiencia de descanso cómoda, ideal para terrazas modernas.",73,70.0,76.0,https://hevea.es/mpcrm/imgs/uploads/sillon%20bicolor%20diva.jpg,Hevea
558-0070,DIVA-2 BICOLOR SOFA 2 PLAZAS/SOFA/CANAPÉ,"619,00 €","929,75 €","310,75 €","50,20%",0.0,,1.125 €,"El sofá DIVA Bicolor de 2 plazas combina elegancia y contraste cromático en una pieza moderna y equilibrada. Perfecto para terrazas de tamaño medio, ofrece comodidad gracias a sus cojines amplios y estructura sólida preparada para exterior.",140,70.0,76.0,https://hevea.es/mpcrm/imgs/uploads/sofa%20diva%20bicolor.jpg,Hevea
558-0052,DIVA-3 BICOLOR SOFA 3 PLAZAS/SOFA/CANAPÉ,"765,00 €","1.148,76 €","383,76 €","50,16%",0.0,,1.390 €,"El sofá DIVA Bicolor de 3 plazas aporta amplitud y estilo al salón exterior. Su diseño en doble color crea un efecto visual sofisticado, mientras que su asiento profundo y confortable invita al relax y a largas reuniones al aire libre.",200,70.0,76.0,https://hevea.es/mpcrm/imgs/uploads/sofa%20diva%203%20plazas.jpg,Hevea
558-0033,BICOLOR MESA CENTRO 120/COFFEE TABLE/TABLE CENTRE HPL,"325,00 €","487,60 €","162,60 €","50,03%",50.0,,590 €,"La mesa de centro Bicolor 120 con tablero HPL combina resistencia y diseño moderno. Su superficie amplia y duradera está preparada para uso exterior, ofreciendo funcionalidad y un acabado elegante que complementa el conjunto DIVA.",120,60.0,40.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20de%20centro%20diva%20120.png,Hevea
558-0039,BICOLOR MESA CENTRO 135/COFFEE TABLE/TABLE CENTRE HPL,"380,00 €","570,25 €","190,25 €","50,07%",50.0,,690 €,"La mesa de centro Bicolor 135 HPL destaca por su mayor superficie y presencia visual. Ideal para conjuntos amplios, aporta estabilidad, resistencia y un diseño actual perfecto para terrazas sofisticadas.",135,60.0,40.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20de%20centro%20diva%20135.jpg,Hevea
